episode,normalized_cumulative_reward,final_rewards,best_reward
0,0.7362361550331116,0.7518391609191895,0.9280243515968323
1,0.5840171575546265,0.5494252443313599,0.8162969350814819
2,0.7955977320671082,0.85760897397995,0.9341188669204712
3,0.628770649433136,0.6419008374214172,0.8287238478660583
4,0.592126190662384,0.6547409296035767,0.7215407490730286
5,0.7157272100448608,0.755196750164032,0.9170822501182556
6,0.7628318667411804,0.8007643818855286,0.8767334818840027
7,0.7348181009292603,0.8260847330093384,0.9319700598716736
8,0.5933579206466675,0.6610820293426514,0.832721471786499
9,0.6395146250724792,0.5260797739028931,0.9213969707489014
10,0.8022207021713257,0.8058416247367859,0.9198002815246582
11,0.7685645818710327,0.7310452461242676,0.911098062992096
12,0.8343685865402222,0.8563470840454102,0.9619984030723572
13,0.42706194519996643,0.3640713691711426,0.9115311503410339
14,0.8026231527328491,0.8194531202316284,0.9154614806175232
15,0.7318317294120789,0.7633896470069885,0.8242106437683105
16,0.7366546988487244,0.7768548130989075,0.8621604442596436
17,0.7060282826423645,0.6257911920547485,0.9065763354301453
18,0.6076227426528931,0.7396467924118042,0.8584568500518799
19,0.62338787317276,0.6668270230293274,0.7708694338798523
20,0.6519280076026917,0.5741231441497803,0.799450159072876
21,0.6090537905693054,0.6721194982528687,0.8297187685966492
22,0.691832959651947,0.8108575940132141,0.9396999478340149
23,0.7548052668571472,0.8426377177238464,0.9315190315246582
24,0.700951874256134,0.7291892766952515,0.9230421185493469
25,0.7313126921653748,0.8010987043380737,0.8823177218437195
26,0.7736964225769043,0.8238211870193481,0.8853638172149658
27,0.7723444700241089,0.7091454863548279,0.8833412528038025
28,0.6901076436042786,0.6695111393928528,0.9515684247016907
29,0.7877383232116699,0.7957321405410767,0.857933521270752
30,0.5786513686180115,0.6330902576446533,0.8325507044792175
31,0.7316203713417053,0.754091739654541,0.9317685961723328
32,0.6615949273109436,0.7248806953430176,0.9109433889389038
33,0.6145563721656799,0.6808773279190063,0.9160539507865906
34,0.672745406627655,0.6664260029792786,0.9104459881782532
35,0.5918380618095398,0.615298867225647,0.7116082906723022
36,0.788520336151123,0.8398551940917969,0.8787523508071899
37,0.7204505205154419,0.7627082467079163,0.8256505131721497
38,0.721656084060669,0.6729437112808228,0.8653335571289062
39,0.6181613206863403,0.6110575795173645,0.8237102031707764
40,0.7329397201538086,0.7291763424873352,0.8534020781517029
41,0.7138339877128601,0.6173322200775146,0.9142725467681885
42,0.7155563235282898,0.7885942459106445,0.8834552764892578
43,0.7998372316360474,0.8529157638549805,0.9222537875175476
44,0.6909244656562805,0.744208037853241,0.830993115901947
45,0.683215320110321,0.7466657757759094,0.8501308560371399
46,0.660774827003479,0.7551606297492981,0.8566083312034607
47,0.496159166097641,0.24489717185497284,0.8993933796882629
48,0.7029353380203247,0.738229513168335,0.8173782229423523
49,0.7963672876358032,0.792569100856781,0.9437540769577026
50,0.4981839060783386,0.34203416109085083,0.875272810459137
51,0.6096836924552917,0.5705844163894653,0.9233990907669067
52,0.7032909393310547,0.7896291017532349,0.9166892766952515
53,0.5797872543334961,0.49875298142433167,0.7567146420478821
54,0.7175613641738892,0.7268705368041992,0.8650490045547485
55,0.5857347249984741,0.5768238306045532,0.8816894888877869
56,0.745284378528595,0.804125189781189,0.8818086385726929
57,0.554345965385437,0.6262064576148987,0.8244368433952332
58,0.6753873825073242,0.7338434457778931,0.8451253771781921
59,0.6332921981811523,0.6290920972824097,0.8185843229293823
60,0.6008721590042114,0.6809098720550537,0.9302486777305603
61,0.7777161598205566,0.8016111254692078,0.9841552376747131
62,0.8258026242256165,0.8510299921035767,0.8710572719573975
63,0.6592607498168945,0.7199936509132385,0.9036146998405457
64,0.7531181573867798,0.8255964517593384,0.9046821594238281
65,0.6358281373977661,0.6725292801856995,0.9123806953430176
66,0.7780443429946899,0.846773624420166,0.9362525939941406
67,0.5969731211662292,0.8074892163276672,0.8595763444900513
68,0.7694402933120728,0.8206077814102173,0.9152727127075195
69,0.6752628684043884,0.7198171615600586,0.9033981561660767
70,0.6664497256278992,0.6678045988082886,0.861594557762146
71,0.5465158820152283,0.5366510152816772,0.6522995233535767
72,0.687781810760498,0.7429908514022827,0.82492995262146
73,0.7038953900337219,0.848758339881897,0.9542572498321533
74,0.7906132936477661,0.7637196779251099,0.9218934774398804
75,0.7756662964820862,0.7086990475654602,0.9498078227043152
76,0.7657886743545532,0.4573868215084076,0.9240246415138245
