episode,normalized_cumulative_reward,final_rewards,best_reward,mean_normalized_cumulative_reward,mean_final_rewards,mean_best_reward,memory_size
0,0.5521249175071716,0.6775221228599548,0.8806240558624268,0.3594764173030853,0.2613731324672699,0.6472922563552856,100
1,0.49927377700805664,0.5698845386505127,0.904481828212738,0.33858534693717957,0.29601728916168213,0.6725091934204102,100
2,0.39357903599739075,0.7687739133834839,0.7758009433746338,0.285189688205719,0.3496847450733185,0.5811066627502441,100
3,0.5693256855010986,0.6183136105537415,0.7842946648597717,0.3146533668041229,0.4350794851779938,0.5394060611724854,100
4,0.4739539325237274,0.6670201420783997,0.9240352511405945,0.3701963722705841,0.46939554810523987,0.706360399723053,100
5,0.43808043003082275,0.24378512799739838,0.901324450969696,0.2691733241081238,0.11738276481628418,0.6270412802696228,100
6,0.37764543294906616,0.3199710249900818,0.8023707270622253,0.24844400584697723,0.14134003221988678,0.537723183631897,100
7,0.40088215470314026,0.4845750629901886,0.8926964402198792,0.2825520932674408,0.31921783089637756,0.6445457935333252,100
8,0.44481682777404785,0.4754854738712311,0.7964754104614258,0.2005658894777298,0.18782106041908264,0.3436504900455475,100
9,0.5243375897407532,0.5158740282058716,0.8748952150344849,0.3404524028301239,0.3006414771080017,0.6470907926559448,100
10,0.6648342609405518,0.7129083275794983,0.9338065981864929,0.414003849029541,0.34762686491012573,0.6834471225738525,100
11,0.48759713768959045,0.4722372889518738,0.8485387563705444,0.3857648968696594,0.37508004903793335,0.7149633169174194,100
12,0.4006238579750061,0.5401202440261841,0.884731113910675,0.3115416169166565,0.4202883839607239,0.5626457333564758,100
13,0.3490526080131531,0.32595294713974,0.714470386505127,0.17561712861061096,0.11300130188465118,0.4056583344936371,100
14,0.4464872181415558,0.3709636628627777,0.8064982295036316,0.29512515664100647,0.28698620200157166,0.5713582038879395,100
15,0.40965938568115234,0.5876983404159546,0.850289523601532,0.3068385720252991,0.41204747557640076,0.7007337808609009,100
16,0.4689306318759918,0.3641328513622284,0.8873052597045898,0.30757683515548706,0.2782925069332123,0.5969769954681396,100
17,0.7328401207923889,0.7571617960929871,0.9464763402938843,0.4157499372959137,0.33833906054496765,0.7353914976119995,100
